:ID,:LABEL,agent_code,agent_name,agency_name,agent_type,license_number,license_state,license_lines,designation,years_experience,hire_date,active_policies_count,ytd_premium_written,commission_rate_pct,ytd_commission_earned,retention_rate_pct,claims_ratio_pct,new_business_count_ytd,e_and_o_insurance,phone,email,office_address,certifications,performance_tier,fraud_referral_count_ytd,last_training_date,supervisor_name
AGT-1650,Agent,AGT-1650,David Callahan,Central Midwest Agency,Broker,LIC-OH-806385,OH,Life,CLU,1,2/01/2014,139,582576.12,16.8,19930.0,82.7,56.4,76,Yes,(624) 479-3209,david.callahan@centralmidwesta.com,"6551 Business Park Dr, OH",,Bronze,2,7/01/2014,District Manager A
AGT-8712,Agent,AGT-8712,Robert Fitzgerald,Central Midwest Agency,Captive,LIC-OH-944196,OH,Home,None,7,8/01/2008,102,498002.24,11.0,42056.46,84.3,72.3,13,Yes,(575) 529-4039,robert.fitzgerald@centralmidwesta.com,"3624 Business Park Dr, OH",Cyber Liability Cert|Life & Health Licensed,Silver,3,2/01/2014,Branch Director C
AGT-3413,Agent,AGT-3413,Karen Patel,Tri-State Coverage Associates,Broker,LIC-OH-628993,OH,Home,LUTCF,29,1/01/1986,25,72144.41,13.4,42308.58,76.4,63.1,44,Yes,(819) 262-2213,karen.patel@tri-statecovera.com,"659 Business Park Dr, OH",,Bronze,8,9/01/2014,District Manager A
AGT-9694,Agent,AGT-9694,Karen Delgado,Central Midwest Agency,Independent,LIC-OH-309210,OH,Auto,CIC,28,5/01/1987,194,540030.44,13.0,79313.78,77.9,43.7,29,Yes,(659) 420-1864,karen.delgado@centralmidwesta.com,"8384 Business Park Dr, OH",,Bronze,1,12/01/2014,Regional VP B
AGT-8362,Agent,AGT-8362,Thomas Kowalski,Lakefront Coverage Group,Broker,LIC-IN-399961,IN,Commercial,CLU,1,5/01/2014,96,795479.45,8.1,42731.34,71.1,61.0,21,Yes,(249) 716-4878,thomas.kowalski@lakefrontcovera.com,"6313 Business Park Dr, IN",Life & Health Licensed,Gold,9,2/01/2014,District Manager A
AGT-5366,Agent,AGT-5366,Brian Kowalski,Lakefront Coverage Group,Independent,LIC-IN-104839,IN,Life,ChFC,13,5/01/2002,56,196800.75,10.9,43632.89,80.7,87.3,18,Yes,(962) 937-9367,brian.kowalski@lakefrontcovera.com,"5752 Business Park Dr, IN",,Gold,1,11/01/2014,Regional VP B
AGT-4784,Agent,AGT-4784,Maria Kowalski,Midwest Auto Insurance Agency,Broker,LIC-OH-897407,OH,Auto,CPCU,14,12/01/2001,213,63154.73,10.6,62580.59,94.5,53.0,42,No,(818) 342-9243,maria.kowalski@midwestautoinsu.com,"7543 Business Park Dr, OH",,Gold,2,3/01/2014,Branch Director C
AGT-7055,Agent,AGT-7055,James Nguyen,Central Midwest Agency,Independent,LIC-IN-908367,IN,Commercial,ChFC,12,4/01/2003,63,482274.66,13.4,63174.68,80.7,85.2,15,Yes,(529) 889-6020,james.nguyen@centralmidwesta.com,"8390 Business Park Dr, IN",Anti-Fraud Certified|Cyber Liability Cert,Platinum,7,10/01/2014,District Manager A
AGT-1317,Agent,AGT-1317,James Callahan,Lakefront Coverage Group,Broker,LIC-IN-247765,IN,Commercial,ChFC,6,11/01/2009,49,724916.7,8.6,11751.04,91.4,66.4,64,Yes,(215) 233-6869,james.callahan@lakefrontcovera.com,"6962 Business Park Dr, IN",,Gold,2,11/01/2014,Branch Director C
AGT-8953,Agent,AGT-8953,Thomas Sullivan,Prairie State Insurance Partners,Captive,LIC-OH-780759,OH,All Lines,LUTCF,14,1/01/2001,99,153467.69,12.4,12966.58,97.3,48.7,53,Yes,(774) 966-9422,thomas.sullivan@prairiestateins.com,"3982 Business Park Dr, OH",Anti-Fraud Certified,Silver,5,3/01/2014,District Manager A
AGT-1633,Agent,AGT-1633,Angela Patel,Central Midwest Agency,Broker,LIC-OH-150482,OH,Auto,CIC,7,6/01/2008,196,675818.32,16.7,63541.89,88.7,53.0,27,Yes,(728) 991-6064,angela.patel@centralmidwesta.com,"7269 Business Park Dr, OH",Cyber Liability Cert,Silver,9,3/01/2014,Branch Director C
AGT-6617,Agent,AGT-6617,Patricia Patel,Heartland Insurance Services,Independent,LIC-IL-720939,IL,Life,None,7,1/01/2008,134,149864.53,15.0,36574.39,89.8,41.9,16,Yes,(967) 409-4386,patricia.patel@heartlandinsura.com,"5519 Business Park Dr, IL",,Gold,1,2/01/2014,Branch Director C
AGT-9235,Agent,AGT-9235,Patricia Delgado,Midwest Auto Insurance Agency,Broker,LIC-IN-269056,IN,Home,CLU,9,11/01/2006,25,557074.15,17.5,71586.63,87.7,55.1,46,Yes,(235) 352-6143,patricia.delgado@midwestautoinsu.com,"5176 Business Park Dr, IN",Anti-Fraud Certified,Silver,1,5/01/2014,Branch Director C
AGT-9609,Agent,AGT-9609,David Callahan,Lakefront Coverage Group,Broker,LIC-OH-448296,OH,Commercial,ChFC,20,11/01/1995,139,405961.44,17.6,79817.2,71.0,51.5,26,Yes,(566) 655-7365,david.callahan@lakefrontcovera.com,"2072 Business Park Dr, OH",,Silver,10,8/01/2014,Branch Director C
AGT-5575,Agent,AGT-5575,David Okafor,Tri-State Coverage Associates,Broker,LIC-IL-838359,IL,All Lines,None,12,1/01/2003,74,396650.97,12.8,33768.72,93.8,85.0,39,Yes,(880) 436-8899,david.okafor@tri-statecovera.com,"2143 Business Park Dr, IL",Life & Health Licensed,Platinum,3,3/01/2014,District Manager A
AGT-4287,Agent,AGT-4287,Michael Patel,Tri-State Coverage Associates,Broker,LIC-IL-155633,IL,Commercial,CLU,5,9/01/2010,101,586666.61,16.3,51599.33,74.3,76.5,46,Yes,(421) 707-2989,michael.patel@tri-statecovera.com,"4247 Business Park Dr, IL",Anti-Fraud Certified|Commercial Lines Cert,Silver,7,4/01/2014,Regional VP B
AGT-2483,Agent,AGT-2483,Nancy Ashworth,Midwest Auto Insurance Agency,Independent,LIC-IN-422955,IN,Commercial,ChFC,27,9/01/1988,131,200132.98,12.6,74719.98,94.0,55.5,11,Yes,(688) 204-2689,nancy.ashworth@midwestautoinsu.com,"3994 Business Park Dr, IN",Commercial Lines Cert|Life & Health Licensed,Platinum,0,8/01/2014,Regional VP B
AGT-6045,Agent,AGT-6045,Robert Okafor,Heartland Insurance Services,Broker,LIC-IL-145601,IL,Commercial,None,8,12/01/2007,158,541310.94,11.8,70940.7,83.4,46.8,27,Yes,(611) 921-7201,robert.okafor@heartlandinsura.com,"7358 Business Park Dr, IL",Cyber Liability Cert|Anti-Fraud Certified,Platinum,7,4/01/2014,District Manager A
AGT-7255,Agent,AGT-7255,Robert Morrison,Heartland Insurance Services,Broker,LIC-OH-198511,OH,All Lines,ChFC,1,8/01/2014,22,486138.53,9.5,54009.79,92.8,73.2,46,Yes,(914) 910-6864,robert.morrison@heartlandinsura.com,"1522 Business Park Dr, OH",Life & Health Licensed|Cyber Liability Cert,Gold,0,6/01/2014,District Manager A
AGT-4100,Agent,AGT-4100,Thomas Kowalski,Lakefront Coverage Group,Captive,LIC-IL-435231,IL,All Lines,ChFC,19,10/01/1996,177,329640.81,14.5,79511.79,71.1,67.1,56,No,(871) 846-8938,thomas.kowalski@lakefrontcovera.com,"6861 Business Park Dr, IL",,Gold,3,9/01/2014,Regional VP B
AGT-2969,Agent,AGT-2969,James Bergman,Midwest Auto Insurance Agency,Captive,LIC-IN-634023,IN,Commercial,None,4,9/01/2011,115,339702.89,14.3,9889.11,89.3,74.6,36,No,(865) 813-8958,james.bergman@midwestautoinsu.com,"6844 Business Park Dr, IN",Cyber Liability Cert|Life & Health Licensed,Gold,10,8/01/2014,Regional VP B
AGT-5090,Agent,AGT-5090,Brian Delgado,Lakefront Coverage Group,Broker,LIC-IL-446911,IL,Auto,CLU,8,12/01/2007,216,272338.79,13.5,14622.95,83.9,63.5,42,Yes,(762) 253-3647,brian.delgado@lakefrontcovera.com,"802 Business Park Dr, IL",,Platinum,6,7/01/2014,Branch Director C
AGT-5474,Agent,AGT-5474,Michael Patel,Central Midwest Agency,Broker,LIC-IN-839674,IN,Home,None,5,4/01/2010,229,663505.89,17.0,34618.82,87.4,45.4,6,Yes,(667) 403-5289,michael.patel@centralmidwesta.com,"5172 Business Park Dr, IN",,Bronze,6,6/01/2014,Branch Director C
AGT-7565,Agent,AGT-7565,Brian Okafor,Prairie State Insurance Partners,Independent,LIC-IN-433000,IN,Life,CLU,5,10/01/2010,246,763403.07,12.9,45546.54,96.9,71.0,46,No,(721) 406-8051,brian.okafor@prairiestateins.com,"8508 Business Park Dr, IN",Life & Health Licensed|Commercial Lines Cert,Gold,9,11/01/2014,District Manager A
AGT-8718,Agent,AGT-8718,Maria Okafor,Tri-State Coverage Associates,Broker,LIC-IL-708512,IL,Home,LUTCF,15,11/01/2000,49,781249.08,12.3,10950.67,79.7,74.1,48,No,(609) 512-1919,maria.okafor@tri-statecovera.com,"3168 Business Park Dr, IL",Life & Health Licensed,Bronze,9,8/01/2014,Regional VP B
AGT-2565,Agent,AGT-2565,Robert Nguyen,Lakefront Coverage Group,Broker,LIC-IN-584962,IN,Life,ChFC,3,6/01/2012,247,746395.32,10.3,53219.39,73.9,76.5,12,Yes,(452) 613-9207,robert.nguyen@lakefrontcovera.com,"7915 Business Park Dr, IN",,Gold,5,8/01/2014,Branch Director C
AGT-4146,Agent,AGT-4146,Nancy Nguyen,Tri-State Coverage Associates,Independent,LIC-IL-532070,IL,All Lines,CLU,19,5/01/1996,145,138259.57,17.5,17260.42,84.9,85.0,52,Yes,(919) 801-2649,nancy.nguyen@tri-statecovera.com,"1506 Business Park Dr, IL",Anti-Fraud Certified,Gold,7,10/01/2014,District Manager A
AGT-8374,Agent,AGT-8374,Maria Patel,Lakefront Coverage Group,Broker,LIC-OH-146645,OH,All Lines,LUTCF,22,8/01/1993,57,687149.15,10.9,10413.82,72.1,65.9,70,Yes,(407) 932-8074,maria.patel@lakefrontcovera.com,"6218 Business Park Dr, OH",Life & Health Licensed|Anti-Fraud Certified,Silver,6,10/01/2014,Regional VP B
AGT-9919,Agent,AGT-9919,James Ramirez,Midwest Auto Insurance Agency,Captive,LIC-IL-401158,IL,Life,None,8,10/01/2007,123,340232.07,11.9,14347.02,93.4,67.4,16,Yes,(846) 543-5396,james.ramirez@midwestautoinsu.com,"4295 Business Park Dr, IL",,Gold,10,9/01/2014,Branch Director C
AGT-6134,Agent,AGT-6134,Brian Fitzgerald,Midwest Auto Insurance Agency,Broker,LIC-IN-437468,IN,Commercial,CPCU,27,3/01/1988,248,622561.27,16.8,65724.65,83.1,86.0,34,Yes,(955) 640-6513,brian.fitzgerald@midwestautoinsu.com,"799 Business Park Dr, IN",Anti-Fraud Certified,Gold,6,1/01/2014,Regional VP B
AGT-1279,Agent,AGT-1279,Lisa Fitzgerald,Central Midwest Agency,Captive,LIC-OH-103482,OH,Commercial,ChFC,17,3/01/1998,58,561546.96,10.6,30567.2,96.5,55.4,34,Yes,(997) 616-7244,lisa.fitzgerald@centralmidwesta.com,"9572 Business Park Dr, OH",Cyber Liability Cert,Gold,5,5/01/2014,Branch Director C
AGT-2206,Agent,AGT-2206,Lisa Morrison,Prairie State Insurance Partners,Captive,LIC-OH-345712,OH,Home,None,27,8/01/1988,159,481545.11,16.6,64672.76,73.7,78.2,49,Yes,(405) 532-8588,lisa.morrison@prairiestateins.com,"6523 Business Park Dr, OH",Cyber Liability Cert,Gold,7,10/01/2014,Branch Director C
AGT-6206,Agent,AGT-6206,Sandra Ashworth,Heartland Insurance Services,Broker,LIC-OH-164078,OH,Auto,CPCU,11,7/01/2004,177,311255.2,15.2,47052.49,71.7,64.9,39,Yes,(779) 552-6044,sandra.ashworth@heartlandinsura.com,"6709 Business Park Dr, OH",,Gold,8,2/01/2014,Branch Director C
AGT-2350,Agent,AGT-2350,Lisa Ashworth,Midwest Auto Insurance Agency,Independent,LIC-IL-724616,IL,All Lines,CIC,5,7/01/2010,126,569118.79,10.6,36521.1,91.9,83.8,70,Yes,(361) 605-2306,lisa.ashworth@midwestautoinsu.com,"3587 Business Park Dr, IL",Cyber Liability Cert|Life & Health Licensed,Bronze,2,3/01/2014,Branch Director C
AGT-2417,Agent,AGT-2417,David Morrison,Midwest Auto Insurance Agency,Captive,LIC-IN-798983,IN,Home,None,25,7/01/1990,234,217966.46,9.4,32299.01,84.2,62.0,27,Yes,(808) 982-6093,david.morrison@midwestautoinsu.com,"4107 Business Park Dr, IN",Life & Health Licensed|Anti-Fraud Certified,Gold,10,6/01/2014,District Manager A
AGT-3997,Agent,AGT-3997,Nancy Okafor,Central Midwest Agency,Captive,LIC-IN-104490,IN,Commercial,CPCU,7,12/01/2008,234,382228.43,16.2,19255.59,82.4,51.7,54,Yes,(481) 379-7776,nancy.okafor@centralmidwesta.com,"3854 Business Park Dr, IN",,Platinum,5,12/01/2014,Regional VP B
AGT-5347,Agent,AGT-5347,Sandra Sullivan,Central Midwest Agency,Captive,LIC-OH-942975,OH,Auto,LUTCF,10,7/01/2005,101,609222.29,10.5,32080.64,77.8,65.2,19,Yes,(267) 927-3957,sandra.sullivan@centralmidwesta.com,"452 Business Park Dr, OH",,Platinum,6,2/01/2014,Branch Director C
AGT-4487,Agent,AGT-4487,Nancy Delgado,Central Midwest Agency,Broker,LIC-OH-273982,OH,Life,LUTCF,27,11/01/1988,173,452482.95,11.4,11520.38,86.9,49.9,30,Yes,(866) 381-6267,nancy.delgado@centralmidwesta.com,"5612 Business Park Dr, OH",Anti-Fraud Certified,Platinum,2,3/01/2014,Regional VP B
AGT-7956,Agent,AGT-7956,Maria Okafor,Midwest Auto Insurance Agency,Broker,LIC-IN-344165,IN,Commercial,CLU,11,5/01/2004,167,595199.02,17.3,67891.71,94.4,82.7,33,No,(529) 214-7890,maria.okafor@midwestautoinsu.com,"117 Business Park Dr, IN",Anti-Fraud Certified|Commercial Lines Cert,Platinum,1,11/01/2014,Regional VP B
AGT-1381,Agent,AGT-1381,Michael Morrison,Heartland Insurance Services,Independent,LIC-OH-808382,OH,All Lines,CIC,17,4/01/1998,192,296403.04,15.4,66719.81,72.9,78.8,20,Yes,(714) 479-2752,michael.morrison@heartlandinsura.com,"4209 Business Park Dr, OH",,Silver,7,6/01/2014,District Manager A
AGT-7040,Agent,AGT-7040,David Patel,Central Midwest Agency,Broker,LIC-OH-943131,OH,Life,CIC,23,4/01/1992,218,328281.46,14.6,43973.37,97.3,40.6,73,Yes,(561) 607-7294,david.patel@centralmidwesta.com,"2855 Business Park Dr, OH",Anti-Fraud Certified,Gold,3,9/01/2014,Regional VP B
AGT-1814,Agent,AGT-1814,Kevin Kowalski,Midwest Auto Insurance Agency,Captive,LIC-IL-586117,IL,Commercial,CIC,18,2/01/1997,171,687796.83,15.0,43366.37,90.7,49.8,36,Yes,(325) 738-8442,kevin.kowalski@midwestautoinsu.com,"7836 Business Park Dr, IL",Anti-Fraud Certified|Cyber Liability Cert,Bronze,8,6/01/2014,Regional VP B
AGT-7056,Agent,AGT-7056,Kevin Nguyen,Central Midwest Agency,Captive,LIC-IL-858813,IL,Auto,None,20,5/01/1995,24,728107.9,12.6,42895.25,96.5,73.1,64,Yes,(341) 413-8536,kevin.nguyen@centralmidwesta.com,"7627 Business Park Dr, IL",Commercial Lines Cert|Anti-Fraud Certified,Gold,8,12/01/2014,District Manager A
AGT-9664,Agent,AGT-9664,Sandra Sullivan,Heartland Insurance Services,Independent,LIC-IN-155609,IN,All Lines,CPCU,10,10/01/2005,163,745980.28,8.2,79028.37,74.6,54.6,73,Yes,(392) 316-5017,sandra.sullivan@heartlandinsura.com,"1390 Business Park Dr, IN",,Platinum,3,12/01/2014,Branch Director C
AGT-5524,Agent,AGT-5524,Thomas Kowalski,Midwest Auto Insurance Agency,Broker,LIC-OH-181577,OH,Life,LUTCF,21,1/01/1994,154,251040.61,10.7,8129.63,94.3,81.1,75,Yes,(613) 746-5500,thomas.kowalski@midwestautoinsu.com,"911 Business Park Dr, OH",Life & Health Licensed|Anti-Fraud Certified,Gold,9,4/01/2014,Regional VP B
AGT-3873,Agent,AGT-3873,Angela Callahan,Lakefront Coverage Group,Broker,LIC-IL-373184,IL,Commercial,ChFC,27,12/01/1988,184,798072.5,9.1,63794.01,76.3,41.3,36,Yes,(666) 742-5345,angela.callahan@lakefrontcovera.com,"916 Business Park Dr, IL",Commercial Lines Cert,Gold,7,6/01/2014,District Manager A
AGT-4928,Agent,AGT-4928,Brian Patel,Tri-State Coverage Associates,Independent,LIC-OH-686601,OH,Home,ChFC,24,12/01/1991,189,117653.59,10.3,36833.69,79.5,49.7,52,Yes,(211) 508-3073,brian.patel@tri-statecovera.com,"1934 Business Park Dr, OH",,Gold,5,8/01/2014,Branch Director C
AGT-8829,Agent,AGT-8829,Brian Morrison,Tri-State Coverage Associates,Broker,LIC-IL-470139,IL,Home,None,5,1/01/2010,23,303314.01,9.6,37203.77,82.0,54.3,76,Yes,(541) 417-8614,brian.morrison@tri-statecovera.com,"1953 Business Park Dr, IL",Anti-Fraud Certified|Cyber Liability Cert,Silver,5,11/01/2014,District Manager A
AGT-8222,Agent,AGT-8222,Kevin Sullivan,Lakefront Coverage Group,Captive,LIC-OH-274754,OH,Auto,CPCU,24,5/01/1991,67,366466.8,13.5,66185.89,87.2,49.1,27,Yes,(423) 346-9178,kevin.sullivan@lakefrontcovera.com,"6360 Business Park Dr, OH",,Gold,6,8/01/2014,Branch Director C
AGT-7993,Agent,AGT-7993,Sandra Sullivan,Prairie State Insurance Partners,Independent,LIC-IN-269485,IN,Life,LUTCF,13,4/01/2002,240,717804.8,9.0,70233.39,83.9,83.0,58,Yes,(920) 256-2187,sandra.sullivan@prairiestateins.com,"7957 Business Park Dr, IN",Anti-Fraud Certified,Platinum,5,10/01/2014,Regional VP B
AGT-4953,Agent,AGT-4953,Karen Okafor,Heartland Insurance Services,Captive,LIC-IL-616339,IL,Commercial,ChFC,24,1/01/1991,34,183365.87,16.8,65185.38,83.8,80.4,58,Yes,(783) 718-3420,karen.okafor@heartlandinsura.com,"2971 Business Park Dr, IL",Life & Health Licensed,Silver,4,12/01/2014,Regional VP B
AGT-6409,Agent,AGT-6409,Nancy Yamamoto,Central Midwest Agency,Broker,LIC-IL-824372,IL,Commercial,CPCU,6,1/01/2009,237,267910.92,9.9,29227.33,92.9,45.7,11,Yes,(369) 548-9680,nancy.yamamoto@centralmidwesta.com,"1527 Business Park Dr, IL",Anti-Fraud Certified,Silver,3,12/01/2014,Regional VP B
AGT-1667,Agent,AGT-1667,Thomas Morrison,Heartland Insurance Services,Captive,LIC-OH-634049,OH,Auto,LUTCF,19,11/01/1996,151,157474.29,17.9,21667.56,92.9,42.1,24,Yes,(923) 585-1363,thomas.morrison@heartlandinsura.com,"7367 Business Park Dr, OH",Commercial Lines Cert,Platinum,7,9/01/2014,District Manager A
AGT-7836,Agent,AGT-7836,Thomas Ramirez,Heartland Insurance Services,Captive,LIC-OH-830288,OH,Home,CPCU,12,11/01/2003,31,77931.33,15.4,79749.5,86.1,59.3,19,Yes,(376) 869-3125,thomas.ramirez@heartlandinsura.com,"8357 Business Park Dr, OH",Commercial Lines Cert,Platinum,2,9/01/2014,Regional VP B
AGT-7767,Agent,AGT-7767,Lisa Okafor,Heartland Insurance Services,Independent,LIC-OH-450788,OH,Home,CIC,30,6/01/1985,194,286603.11,12.4,23576.14,70.7,42.9,37,Yes,(922) 983-7973,lisa.okafor@heartlandinsura.com,"5052 Business Park Dr, OH",,Bronze,0,1/01/2014,District Manager A
AGT-7973,Agent,AGT-7973,Nancy Patel,Heartland Insurance Services,Independent,LIC-IN-759405,IN,Commercial,ChFC,22,5/01/1993,93,675360.37,17.3,9691.9,94.5,68.8,53,Yes,(833) 415-5463,nancy.patel@heartlandinsura.com,"6147 Business Park Dr, IN",Life & Health Licensed|Anti-Fraud Certified,Silver,4,10/01/2014,District Manager A
AGT-5694,Agent,AGT-5694,Thomas Okafor,Midwest Auto Insurance Agency,Captive,LIC-IN-843864,IN,Commercial,None,2,6/01/2013,208,183093.94,9.7,72900.91,80.0,80.8,61,Yes,(691) 798-7054,thomas.okafor@midwestautoinsu.com,"3454 Business Park Dr, IN",Commercial Lines Cert,Gold,7,11/01/2014,Regional VP B
AGT-9540,Agent,AGT-9540,David Bergman,Prairie State Insurance Partners,Captive,LIC-OH-821150,OH,Auto,CIC,8,11/01/2007,249,472055.27,10.6,70998.74,94.1,78.8,38,Yes,(906) 777-2705,david.bergman@prairiestateins.com,"5236 Business Park Dr, OH",,Platinum,4,5/01/2014,District Manager A
AGT-2994,Agent,AGT-2994,Angela Kowalski,Tri-State Coverage Associates,Captive,LIC-IN-825625,IN,Life,CIC,23,9/01/1992,175,701953.78,9.9,72262.92,97.0,59.3,35,Yes,(267) 328-8731,angela.kowalski@tri-statecovera.com,"6349 Business Park Dr, IN",Life & Health Licensed,Silver,0,5/01/2014,Regional VP B
AGT-9699,Agent,AGT-9699,Lisa Morrison,Heartland Insurance Services,Captive,LIC-OH-370319,OH,Life,LUTCF,2,10/01/2013,72,360862.67,9.4,48289.71,77.1,44.3,67,No,(314) 791-3977,lisa.morrison@heartlandinsura.com,"156 Business Park Dr, OH",,Gold,8,6/01/2014,District Manager A
AGT-4272,Agent,AGT-4272,Thomas Bergman,Lakefront Coverage Group,Captive,LIC-OH-792153,OH,All Lines,None,3,11/01/2012,245,544865.77,15.6,28936.6,78.0,76.9,78,Yes,(269) 525-2498,thomas.bergman@lakefrontcovera.com,"5012 Business Park Dr, OH",Anti-Fraud Certified|Cyber Liability Cert,Gold,6,12/01/2014,Branch Director C
AGT-2137,Agent,AGT-2137,Maria Morrison,Central Midwest Agency,Independent,LIC-IN-624370,IN,Life,None,20,5/01/1995,201,264602.66,15.1,78428.35,91.8,87.7,36,Yes,(775) 540-7003,maria.morrison@centralmidwesta.com,"6567 Business Park Dr, IN",Anti-Fraud Certified|Commercial Lines Cert,Gold,10,5/01/2014,Regional VP B
AGT-4225,Agent,AGT-4225,Sandra Ashworth,Tri-State Coverage Associates,Captive,LIC-OH-203345,OH,Auto,ChFC,22,3/01/1993,212,171870.19,11.3,33947.42,82.5,78.3,42,Yes,(279) 441-3039,sandra.ashworth@tri-statecovera.com,"1904 Business Park Dr, OH",Cyber Liability Cert|Anti-Fraud Certified,Silver,9,9/01/2014,Branch Director C
AGT-5079,Agent,AGT-5079,Thomas Fitzgerald,Midwest Auto Insurance Agency,Broker,LIC-IL-557534,IL,Home,CLU,5,3/01/2010,37,749025.42,13.7,34737.75,97.6,48.2,62,Yes,(632) 954-6749,thomas.fitzgerald@midwestautoinsu.com,"9105 Business Park Dr, IL",,Silver,3,6/01/2014,District Manager A
AGT-1463,Agent,AGT-1463,Robert Fitzgerald,Central Midwest Agency,Broker,LIC-OH-235243,OH,All Lines,None,16,8/01/1999,19,717940.36,15.1,49312.76,83.0,74.0,58,Yes,(512) 273-2022,robert.fitzgerald@centralmidwesta.com,"2372 Business Park Dr, OH",,Silver,0,8/01/2014,District Manager A
AGT-7373,Agent,AGT-7373,Lisa Delgado,Midwest Auto Insurance Agency,Broker,LIC-IL-865869,IL,Auto,None,22,1/01/1993,32,425049.68,10.4,47259.35,79.9,85.0,74,Yes,(854) 349-4422,lisa.delgado@midwestautoinsu.com,"8398 Business Park Dr, IL",,Gold,6,12/01/2014,Branch Director C
AGT-5158,Agent,AGT-5158,Brian Ashworth,Central Midwest Agency,Captive,LIC-OH-777737,OH,Home,CIC,4,5/01/2011,173,664052.03,12.9,59502.68,85.8,55.0,8,Yes,(443) 942-5824,brian.ashworth@centralmidwesta.com,"8790 Business Park Dr, OH",,Silver,1,3/01/2014,Branch Director C
AGT-4885,Agent,AGT-4885,Karen Ramirez,Heartland Insurance Services,Captive,LIC-OH-820072,OH,All Lines,None,3,4/01/2012,228,561317.23,13.8,31395.6,80.8,40.5,73,Yes,(899) 267-8362,karen.ramirez@heartlandinsura.com,"7911 Business Park Dr, OH",Cyber Liability Cert|Anti-Fraud Certified,Gold,0,8/01/2014,Regional VP B
AGT-1352,Agent,AGT-1352,Nancy Fitzgerald,Prairie State Insurance Partners,Independent,LIC-OH-472754,OH,Commercial,LUTCF,5,9/01/2010,195,188268.7,15.2,22748.98,89.4,78.8,59,Yes,(315) 849-9860,nancy.fitzgerald@prairiestateins.com,"4022 Business Park Dr, OH",Cyber Liability Cert|Commercial Lines Cert,Gold,4,9/01/2014,Branch Director C
AGT-6118,Agent,AGT-6118,Robert Ashworth,Lakefront Coverage Group,Independent,LIC-IL-546399,IL,All Lines,CLU,24,2/01/1991,110,447298.18,11.4,65313.17,80.8,49.1,12,Yes,(464) 570-7670,robert.ashworth@lakefrontcovera.com,"8648 Business Park Dr, IL",Life & Health Licensed|Cyber Liability Cert,Silver,5,12/01/2014,Regional VP B
AGT-6860,Agent,AGT-6860,Michael Morrison,Central Midwest Agency,Independent,LIC-IL-319358,IL,Life,LUTCF,22,6/01/1993,152,163942.53,10.1,52828.48,82.9,55.6,53,Yes,(843) 255-8330,michael.morrison@centralmidwesta.com,"2419 Business Park Dr, IL",,Gold,4,6/01/2014,Regional VP B
AGT-9179,Agent,AGT-9179,Michael Okafor,Prairie State Insurance Partners,Broker,LIC-IN-105474,IN,Auto,CPCU,24,9/01/1991,42,269483.48,12.7,79717.37,71.7,88.3,29,No,(247) 538-3275,michael.okafor@prairiestateins.com,"5944 Business Park Dr, IN",Commercial Lines Cert|Cyber Liability Cert,Silver,5,4/01/2014,Regional VP B
AGT-7123,Agent,AGT-7123,Thomas Ashworth,Heartland Insurance Services,Broker,LIC-IN-750348,IN,Commercial,CIC,12,5/01/2003,217,494718.6,14.3,65634.16,89.2,59.8,11,Yes,(874) 876-1419,thomas.ashworth@heartlandinsura.com,"2970 Business Park Dr, IN",Cyber Liability Cert,Gold,7,9/01/2014,District Manager A
AGT-1626,Agent,AGT-1626,Lisa Yamamoto,Central Midwest Agency,Broker,LIC-IL-791071,IL,All Lines,None,23,2/01/1992,185,487626.26,15.7,75113.49,88.7,88.1,62,Yes,(590) 226-2707,lisa.yamamoto@centralmidwesta.com,"2218 Business Park Dr, IL",,Platinum,10,8/01/2014,District Manager A
AGT-4350,Agent,AGT-4350,Robert Callahan,Heartland Insurance Services,Captive,LIC-IL-149595,IL,All Lines,CIC,15,3/01/2000,23,631307.33,16.3,41726.04,81.9,58.0,55,Yes,(908) 806-9850,robert.callahan@heartlandinsura.com,"2154 Business Park Dr, IL",,Platinum,6,11/01/2014,Regional VP B
AGT-4850,Agent,AGT-4850,Michael Ramirez,Central Midwest Agency,Captive,LIC-IL-690905,IL,All Lines,None,5,5/01/2010,153,650281.09,14.6,34953.26,84.2,79.7,27,Yes,(594) 220-3369,michael.ramirez@centralmidwesta.com,"7000 Business Park Dr, IL",Life & Health Licensed,Gold,3,8/01/2014,Branch Director C
AGT-6680,Agent,AGT-6680,Michael Delgado,Midwest Auto Insurance Agency,Independent,LIC-IL-942210,IL,Life,ChFC,8,10/01/2007,165,641794.9,16.5,8802.17,70.3,58.1,36,Yes,(590) 586-7529,michael.delgado@midwestautoinsu.com,"3175 Business Park Dr, IL",Commercial Lines Cert|Cyber Liability Cert,Silver,7,8/01/2014,District Manager A
AGT-2864,Agent,AGT-2864,Sandra Sullivan,Lakefront Coverage Group,Captive,LIC-OH-779959,OH,Home,LUTCF,10,1/01/2005,243,630427.78,8.4,66394.08,78.4,78.6,11,Yes,(459) 557-3097,sandra.sullivan@lakefrontcovera.com,"6155 Business Park Dr, OH",Life & Health Licensed,Gold,5,5/01/2014,Regional VP B
