:ID,:LABEL,officer_id,officer_name,first_name,last_name,badge_number,rank,department,department_type,precinct,district,city,state,badge_issued_date,years_on_force,hire_date,shift,unit,cases_handled_ytd,accident_reports_ytd,arrests_ytd,commendations,disciplinary_actions,training_certifications,accident_reconstruction_certified,dui_certified,phone,email,supervisor_badge,reports_filed_this_claim,active_status
OFF-5576,PoliceOfficer,OFF-5576,Officer Karen Martinez,Karen,Martinez,5576,Officer,Municipal Police Department,County Sheriff,Precinct 16,District 1,Columbia,SC,1/01/2000,15,4/01/2000,Night (11PM-7AM),Traffic,365,129,46,11,1,Crisis Intervention,Yes,Yes,(433) 384-6385,badge.5576@scpd.gov,2617,1,Active
OFF-7524,PoliceOfficer,OFF-7524,Officer Linda Harris,Linda,Harris,7524,Sergeant,State Highway Patrol Police Department,County Sheriff,Precinct 16,District 6,Columbia,SC,8/01/2010,5,1/01/2010,Day (7AM-3PM),Special Investigations,62,37,58,1,0,Crisis Intervention|DUI Enforcement,No,Yes,(712) 836-7937,badge.7524@scpd.gov,9003,1,Active
OFF-5541,PoliceOfficer,OFF-5541,Officer Karen Harris,Karen,Harris,5541,Senior Officer,State Highway Patrol Police Department,County Sheriff,Precinct 17,District 3,Philadelphia,PA,9/01/2010,5,2/01/2010,Evening (3PM-11PM),K9,221,27,75,2,0,Accident Reconstruction|EVOC (Emergency Driving)|DUI Enforcement,No,Yes,(685) 562-4943,badge.5541@papd.gov,7591,1,Active
OFF-9407,PoliceOfficer,OFF-9407,Officer Robert Moore,Robert,Moore,9407,Sergeant,Metropolitan Police Department,State Highway Patrol,Precinct 8,District 4,Columbia,SC,6/01/1988,27,4/01/1988,Night (11PM-7AM),Special Investigations,212,113,57,5,1,Accident Reconstruction|Evidence Collection|Traffic Investigation|Crisis Intervention,No,Yes,(936) 228-8435,badge.9407@scpd.gov,5355,1,Active
OFF-3664,PoliceOfficer,OFF-3664,Officer Maria Johnson,Maria,Johnson,3664,Officer,Metropolitan Police Department,Transit,Precinct 15,District 3,Columbia,SC,4/01/2005,10,12/01/2005,Night (11PM-7AM),Special Investigations,355,125,13,10,0,EVOC (Emergency Driving)|Traffic Investigation|Accident Reconstruction,No,No,(968) 523-7491,badge.3664@scpd.gov,2198,1,Active
OFF-6743,PoliceOfficer,OFF-6743,Officer Linda Brown,Linda,Brown,6743,Officer,State Highway Patrol Police Department,County Sheriff,Precinct 5,District 6,Richmond,VA,4/01/1996,19,4/01/1996,Rotating,Patrol,274,61,67,2,1,DUI Enforcement|Accident Reconstruction|EVOC (Emergency Driving)|Evidence Collection,Yes,Yes,(245) 302-8138,badge.6743@vapd.gov,5240,1,Active
OFF-4396,PoliceOfficer,OFF-4396,Officer William Moore,William,Moore,4396,Officer,Municipal Police Department,Municipal,Precinct 9,District 4,Charleston,WV,12/01/1994,21,1/01/1994,Day (7AM-3PM),K9,359,136,35,3,0,Traffic Investigation|EVOC (Emergency Driving)|Crisis Intervention|Accident Reconstruction,No,Yes,(870) 711-3140,badge.4396@wvpd.gov,1455,1,Active
OFF-8920,PoliceOfficer,OFF-8920,Officer Linda Jackson,Linda,Jackson,8920,Senior Officer,Municipal Police Department,Municipal,Precinct 2,District 5,Albany,NY,7/01/1992,23,6/01/1992,Night (11PM-7AM),Patrol,266,124,48,6,0,Accident Reconstruction|Evidence Collection|DUI Enforcement,No,Yes,(522) 969-8411,badge.8920@nypd.gov,7734,1,Active
OFF-8659,PoliceOfficer,OFF-8659,Officer Patricia Moore,Patricia,Moore,8659,Senior Officer,Metropolitan Police Department,Municipal,Precinct 4,District 6,Philadelphia,PA,3/01/1992,23,5/01/1992,Day (7AM-3PM),Special Investigations,203,38,46,6,0,Traffic Investigation|Accident Reconstruction,No,Yes,(873) 300-2835,badge.8659@papd.gov,3834,1,Active
OFF-8129,PoliceOfficer,OFF-8129,Officer William Davis,William,Davis,8129,Senior Officer,Municipal Police Department,Transit,Precinct 9,District 8,Charleston,WV,2/01/1989,26,1/01/1989,Evening (3PM-11PM),Special Investigations,183,58,66,2,2,DUI Enforcement|Crisis Intervention,No,No,(589) 300-7167,badge.8129@wvpd.gov,7840,1,Active
OFF-5158,PoliceOfficer,OFF-5158,Officer James Moore,James,Moore,5158,Senior Officer,State Highway Patrol Police Department,Municipal,Precinct 2,District 7,Columbia,SC,7/01/2008,7,11/01/2008,Night (11PM-7AM),Special Investigations,258,118,16,10,2,Accident Reconstruction|EVOC (Emergency Driving)|Crisis Intervention|Evidence Collection,No,Yes,(249) 981-3921,badge.5158@scpd.gov,8340,1,Active
OFF-8691,PoliceOfficer,OFF-8691,Officer Karen Thomas,Karen,Thomas,8691,Officer,State Highway Patrol Police Department,Municipal,Precinct 2,District 5,Philadelphia,PA,6/01/1993,22,10/01/1993,Night (11PM-7AM),Traffic,256,36,21,7,1,DUI Enforcement|EVOC (Emergency Driving)|Traffic Investigation|Evidence Collection,Yes,Yes,(610) 443-4534,badge.8691@papd.gov,9604,1,Active
OFF-5558,PoliceOfficer,OFF-5558,Officer Michael Brown,Michael,Brown,5558,Detective,Metropolitan Police Department,Transit,Precinct 14,District 5,Albany,NY,6/01/2007,8,3/01/2007,Night (11PM-7AM),Patrol,201,48,75,1,2,Crisis Intervention|Traffic Investigation|DUI Enforcement|Accident Reconstruction,Yes,No,(428) 273-4272,badge.5558@nypd.gov,3152,1,On Leave
OFF-5194,PoliceOfficer,OFF-5194,Officer John White,John,White,5194,Detective,Municipal Police Department,State Highway Patrol,Precinct 8,District 3,Columbia,SC,12/01/1998,17,4/01/1998,Evening (3PM-11PM),Special Investigations,75,113,80,10,2,Crisis Intervention,Yes,Yes,(521) 806-1725,badge.5194@scpd.gov,9392,1,Active
OFF-1451,PoliceOfficer,OFF-1451,Officer William Miller,William,Miller,1451,Senior Officer,County Sheriff Police Department,Municipal,Precinct 7,District 6,Charleston,WV,12/01/2006,9,7/01/2006,Evening (3PM-11PM),Detective Bureau,37,50,14,4,2,EVOC (Emergency Driving)|Accident Reconstruction,No,Yes,(846) 964-3368,badge.1451@wvpd.gov,2744,1,Active
OFF-8373,PoliceOfficer,OFF-8373,Officer David Anderson,David,Anderson,8373,Detective,Metropolitan Police Department,County Sheriff,Precinct 13,District 2,Charleston,WV,7/01/1989,26,12/01/1989,Day (7AM-3PM),Special Investigations,274,25,70,12,2,Accident Reconstruction|Traffic Investigation|DUI Enforcement|Crisis Intervention,No,No,(808) 588-1823,badge.8373@wvpd.gov,8157,1,Active
OFF-8251,PoliceOfficer,OFF-8251,Officer Karen Martin,Karen,Martin,8251,Detective,County Sheriff Police Department,State Highway Patrol,Precinct 9,District 3,Richmond,VA,5/01/1990,25,7/01/1990,Night (11PM-7AM),Traffic,95,100,22,7,2,Evidence Collection|DUI Enforcement|EVOC (Emergency Driving)|Accident Reconstruction,No,Yes,(237) 815-6171,badge.8251@vapd.gov,4427,1,Active
OFF-8027,PoliceOfficer,OFF-8027,Officer Michael Martinez,Michael,Martinez,8027,Senior Officer,County Sheriff Police Department,Transit,Precinct 19,District 7,Columbia,SC,7/01/2004,11,10/01/2004,Night (11PM-7AM),Special Investigations,293,83,64,3,0,EVOC (Emergency Driving)|Crisis Intervention|Traffic Investigation|DUI Enforcement,Yes,Yes,(338) 978-8104,badge.8027@scpd.gov,6065,1,Active
OFF-7891,PoliceOfficer,OFF-7891,Officer James Martinez,James,Martinez,7891,Officer,County Sheriff Police Department,Municipal,Precinct 8,District 5,Richmond,VA,10/01/2002,13,12/01/2002,Night (11PM-7AM),K9,325,22,4,6,2,EVOC (Emergency Driving)|DUI Enforcement|Accident Reconstruction,No,Yes,(566) 273-9035,badge.7891@vapd.gov,2913,1,Active
OFF-2534,PoliceOfficer,OFF-2534,Officer Robert Thomas,Robert,Thomas,2534,Senior Officer,State Highway Patrol Police Department,Municipal,Precinct 4,District 8,Raleigh,NC,5/01/2011,4,7/01/2011,Night (11PM-7AM),Traffic,73,28,28,11,0,DUI Enforcement|Evidence Collection|Accident Reconstruction|Crisis Intervention,No,No,(885) 374-6587,badge.2534@ncpd.gov,4684,1,Active
OFF-3144,PoliceOfficer,OFF-3144,Officer Barbara Jackson,Barbara,Jackson,3144,Lieutenant,State Highway Patrol Police Department,State Highway Patrol,Precinct 16,District 4,Albany,NY,12/01/2002,13,12/01/2002,Night (11PM-7AM),Patrol,152,80,24,7,2,Accident Reconstruction|DUI Enforcement,No,Yes,(390) 536-8031,badge.3144@nypd.gov,7667,1,Active
OFF-2535,PoliceOfficer,OFF-2535,Officer William Harris,William,Harris,2535,Officer,County Sheriff Police Department,County Sheriff,Precinct 6,District 6,Raleigh,NC,2/01/1999,16,5/01/1999,Night (11PM-7AM),Traffic,111,140,73,11,1,DUI Enforcement,No,Yes,(867) 279-6522,badge.2535@ncpd.gov,3034,1,Active
OFF-6728,PoliceOfficer,OFF-6728,Officer Patricia Thompson,Patricia,Thompson,6728,Officer,Municipal Police Department,County Sheriff,Precinct 4,District 6,Philadelphia,PA,7/01/2013,2,9/01/2013,Day (7AM-3PM),Traffic,30,126,3,8,0,DUI Enforcement|Evidence Collection|Traffic Investigation|Crisis Intervention,No,No,(348) 992-5523,badge.6728@papd.gov,4414,1,Active
OFF-5915,PoliceOfficer,OFF-5915,Officer Maria White,Maria,White,5915,Senior Officer,Metropolitan Police Department,State Highway Patrol,Precinct 20,District 5,Columbia,SC,10/01/2011,4,11/01/2011,Evening (3PM-11PM),Detective Bureau,362,109,18,3,2,Accident Reconstruction|Traffic Investigation|DUI Enforcement|Crisis Intervention,Yes,Yes,(980) 932-5504,badge.5915@scpd.gov,1475,1,Active
OFF-1523,PoliceOfficer,OFF-1523,Officer John Thompson,John,Thompson,1523,Senior Officer,Metropolitan Police Department,Municipal,Precinct 4,District 7,Philadelphia,PA,11/01/1998,17,10/01/1998,Rotating,K9,308,129,59,12,2,Accident Reconstruction|Crisis Intervention|DUI Enforcement,No,No,(927) 915-8611,badge.1523@papd.gov,9275,1,Active
OFF-4335,PoliceOfficer,OFF-4335,Officer Patricia Thomas,Patricia,Thomas,4335,Sergeant,State Highway Patrol Police Department,Municipal,Precinct 20,District 6,Albany,NY,2/01/1993,22,2/01/1993,Day (7AM-3PM),Detective Bureau,276,144,36,0,1,Crisis Intervention,No,Yes,(905) 630-5311,badge.4335@nypd.gov,4675,1,Active
OFF-3167,PoliceOfficer,OFF-3167,Officer Maria Jackson,Maria,Jackson,3167,Sergeant,Metropolitan Police Department,Municipal,Precinct 2,District 8,Raleigh,NC,8/01/1997,18,3/01/1997,Evening (3PM-11PM),Special Investigations,365,38,27,7,2,EVOC (Emergency Driving)|Evidence Collection|Accident Reconstruction|DUI Enforcement,No,Yes,(382) 534-7505,badge.3167@ncpd.gov,7327,1,Active
OFF-6682,PoliceOfficer,OFF-6682,Officer James Anderson,James,Anderson,6682,Senior Officer,State Highway Patrol Police Department,County Sheriff,Precinct 19,District 1,Albany,NY,12/01/2008,7,6/01/2008,Rotating,Detective Bureau,302,97,59,11,0,Accident Reconstruction|Evidence Collection|DUI Enforcement,No,No,(508) 888-8524,badge.6682@nypd.gov,3189,1,Active
OFF-2386,PoliceOfficer,OFF-2386,Officer Karen Anderson,Karen,Anderson,2386,Officer,State Highway Patrol Police Department,County Sheriff,Precinct 1,District 8,Columbia,SC,9/01/2006,9,3/01/2006,Day (7AM-3PM),K9,358,33,79,1,2,Evidence Collection|DUI Enforcement,Yes,Yes,(902) 527-7175,badge.2386@scpd.gov,4930,1,Active
OFF-8624,PoliceOfficer,OFF-8624,Officer Patricia Martinez,Patricia,Martinez,8624,Detective,Municipal Police Department,State Highway Patrol,Precinct 6,District 2,Albany,NY,11/01/1993,22,6/01/1993,Night (11PM-7AM),Detective Bureau,100,6,26,2,2,Accident Reconstruction,No,No,(876) 421-8754,badge.8624@nypd.gov,2941,1,Active
OFF-1336,PoliceOfficer,OFF-1336,Officer Patricia Thomas,Patricia,Thomas,1336,Lieutenant,Metropolitan Police Department,County Sheriff,Precinct 2,District 6,Columbia,SC,3/01/2014,1,2/01/2014,Evening (3PM-11PM),Traffic,341,56,55,11,1,DUI Enforcement,No,No,(631) 800-7104,badge.1336@scpd.gov,3156,1,Active
OFF-7581,PoliceOfficer,OFF-7581,Officer Barbara Robinson,Barbara,Robinson,7581,Officer,County Sheriff Police Department,Municipal,Precinct 5,District 7,Columbia,SC,1/01/2008,7,4/01/2008,Rotating,K9,122,107,7,11,1,Traffic Investigation|Crisis Intervention,No,Yes,(861) 470-3232,badge.7581@scpd.gov,3317,1,Active
OFF-7079,PoliceOfficer,OFF-7079,Officer Maria Robinson,Maria,Robinson,7079,Sergeant,State Highway Patrol Police Department,Municipal,Precinct 12,District 2,Columbia,SC,7/01/2009,6,7/01/2009,Day (7AM-3PM),Traffic,253,27,57,12,0,Traffic Investigation|DUI Enforcement,No,Yes,(928) 846-6564,badge.7079@scpd.gov,4861,1,Active
OFF-4248,PoliceOfficer,OFF-4248,Officer Karen Jackson,Karen,Jackson,4248,Detective,Municipal Police Department,Transit,Precinct 14,District 4,Columbia,SC,7/01/1996,19,7/01/1996,Rotating,Detective Bureau,270,117,32,5,0,Accident Reconstruction|Crisis Intervention|EVOC (Emergency Driving)|Evidence Collection,No,Yes,(559) 418-8514,badge.4248@scpd.gov,3552,1,Active
OFF-5114,PoliceOfficer,OFF-5114,Officer Maria Miller,Maria,Miller,5114,Senior Officer,County Sheriff Police Department,Municipal,Precinct 9,District 8,Charleston,WV,3/01/1999,16,6/01/1999,Evening (3PM-11PM),Special Investigations,139,117,41,7,1,Traffic Investigation|EVOC (Emergency Driving)|Accident Reconstruction,No,No,(261) 817-4048,badge.5114@wvpd.gov,6562,1,Active
OFF-2604,PoliceOfficer,OFF-2604,Officer Robert Wilson,Robert,Wilson,2604,Senior Officer,State Highway Patrol Police Department,Transit,Precinct 9,District 8,Charleston,WV,2/01/2004,11,1/01/2004,Night (11PM-7AM),Special Investigations,178,35,78,1,0,Evidence Collection|Crisis Intervention|EVOC (Emergency Driving)|Accident Reconstruction,No,No,(697) 890-3038,badge.2604@wvpd.gov,1433,1,Active
OFF-1098,PoliceOfficer,OFF-1098,Officer William Martin,William,Martin,1098,Detective,Municipal Police Department,Municipal,Precinct 11,District 6,Albany,NY,12/01/2010,5,2/01/2010,Rotating,Detective Bureau,145,33,3,5,0,Traffic Investigation|Crisis Intervention,No,Yes,(952) 385-2496,badge.1098@nypd.gov,7855,1,Active
OFF-7233,PoliceOfficer,OFF-7233,Officer Maria Martinez,Maria,Martinez,7233,Lieutenant,Metropolitan Police Department,Transit,Precinct 15,District 1,Albany,NY,8/01/1987,28,10/01/1987,Night (11PM-7AM),Special Investigations,29,142,21,10,0,Accident Reconstruction,No,No,(787) 308-1797,badge.7233@nypd.gov,5951,1,Active
OFF-8851,PoliceOfficer,OFF-8851,Officer Robert Thomas,Robert,Thomas,8851,Senior Officer,Metropolitan Police Department,State Highway Patrol,Precinct 13,District 4,Albany,NY,10/01/2014,1,11/01/2014,Evening (3PM-11PM),Special Investigations,29,36,17,4,0,Traffic Investigation,No,Yes,(873) 712-4938,badge.8851@nypd.gov,3401,1,Active
OFF-4564,PoliceOfficer,OFF-4564,Officer Patricia Johnson,Patricia,Johnson,4564,Officer,Metropolitan Police Department,Transit,Precinct 18,District 3,Columbia,SC,9/01/2010,5,11/01/2010,Rotating,Special Investigations,271,76,57,9,1,Traffic Investigation,No,Yes,(852) 797-5371,badge.4564@scpd.gov,8322,1,Active
OFF-8878,PoliceOfficer,OFF-8878,Officer Barbara White,Barbara,White,8878,Officer,County Sheriff Police Department,Transit,Precinct 20,District 5,Charleston,WV,11/01/1991,24,4/01/1991,Night (11PM-7AM),Patrol,311,130,60,4,1,Traffic Investigation|Evidence Collection|DUI Enforcement|Crisis Intervention,Yes,No,(495) 670-7169,badge.8878@wvpd.gov,3057,1,Active
OFF-5982,PoliceOfficer,OFF-5982,Officer James White,James,White,5982,Officer,Municipal Police Department,Transit,Precinct 3,District 6,Albany,NY,3/01/2007,8,1/01/2007,Evening (3PM-11PM),Special Investigations,291,63,68,5,2,Crisis Intervention|Evidence Collection|DUI Enforcement|Accident Reconstruction,Yes,Yes,(284) 201-3981,badge.5982@nypd.gov,8080,1,Active
OFF-6976,PoliceOfficer,OFF-6976,Officer James Thompson,James,Thompson,6976,Officer,State Highway Patrol Police Department,County Sheriff,Precinct 9,District 4,Albany,NY,3/01/2013,2,9/01/2013,Rotating,Detective Bureau,20,95,7,4,1,DUI Enforcement|Evidence Collection|Crisis Intervention|Accident Reconstruction,No,Yes,(568) 740-3246,badge.6976@nypd.gov,3720,1,Active
OFF-4096,PoliceOfficer,OFF-4096,Officer John Thompson,John,Thompson,4096,Sergeant,State Highway Patrol Police Department,State Highway Patrol,Precinct 16,District 3,Albany,NY,12/01/1992,23,7/01/1992,Rotating,Traffic,229,113,63,11,1,EVOC (Emergency Driving),Yes,No,(867) 789-1173,badge.4096@nypd.gov,4729,1,Active
OFF-6160,PoliceOfficer,OFF-6160,Officer Barbara Moore,Barbara,Moore,6160,Senior Officer,Metropolitan Police Department,Municipal,Precinct 11,District 5,Albany,NY,3/01/2014,1,11/01/2014,Night (11PM-7AM),K9,267,113,59,8,2,Traffic Investigation|Evidence Collection,No,No,(503) 543-2940,badge.6160@nypd.gov,4229,1,On Leave
OFF-9731,PoliceOfficer,OFF-9731,Officer Robert Thompson,Robert,Thompson,9731,Detective,Metropolitan Police Department,Municipal,Precinct 14,District 8,Albany,NY,8/01/1999,16,8/01/1999,Rotating,Detective Bureau,63,40,80,10,1,Accident Reconstruction|DUI Enforcement|Crisis Intervention|EVOC (Emergency Driving),No,Yes,(825) 488-8602,badge.9731@nypd.gov,4337,1,Active
OFF-8516,PoliceOfficer,OFF-8516,Officer David Martinez,David,Martinez,8516,Senior Officer,Metropolitan Police Department,Transit,Precinct 9,District 5,Raleigh,NC,10/01/2010,5,2/01/2010,Rotating,Special Investigations,57,23,47,0,2,Evidence Collection,No,No,(204) 749-9399,badge.8516@ncpd.gov,4622,1,Active
OFF-2976,PoliceOfficer,OFF-2976,Officer John Davis,John,Davis,2976,Officer,Metropolitan Police Department,Transit,Precinct 3,District 6,Charleston,WV,5/01/2009,6,6/01/2009,Night (11PM-7AM),K9,250,37,2,8,1,Accident Reconstruction|Traffic Investigation,Yes,Yes,(233) 235-5170,badge.2976@wvpd.gov,8453,1,Active
OFF-7993,PoliceOfficer,OFF-7993,Officer Robert Robinson,Robert,Robinson,7993,Lieutenant,State Highway Patrol Police Department,Transit,Precinct 19,District 7,Albany,NY,7/01/1994,21,7/01/1994,Rotating,Detective Bureau,108,118,15,9,2,EVOC (Emergency Driving)|Evidence Collection,No,Yes,(829) 280-5151,badge.7993@nypd.gov,3291,1,Active
OFF-4028,PoliceOfficer,OFF-4028,Officer David Thomas,David,Thomas,4028,Officer,State Highway Patrol Police Department,County Sheriff,Precinct 19,District 5,Albany,NY,7/01/1994,21,9/01/1994,Evening (3PM-11PM),Special Investigations,210,44,46,10,1,Crisis Intervention|Accident Reconstruction|Traffic Investigation|EVOC (Emergency Driving),No,Yes,(472) 775-3405,badge.4028@nypd.gov,1366,1,Active
OFF-5932,PoliceOfficer,OFF-5932,Officer Michael Thompson,Michael,Thompson,5932,Senior Officer,Municipal Police Department,State Highway Patrol,Precinct 19,District 5,Albany,NY,2/01/1990,25,5/01/1990,Day (7AM-3PM),K9,192,143,34,2,1,Traffic Investigation|DUI Enforcement|Evidence Collection,Yes,Yes,(529) 695-4435,badge.5932@nypd.gov,2960,1,On Leave
OFF-7237,PoliceOfficer,OFF-7237,Officer Robert White,Robert,White,7237,Sergeant,State Highway Patrol Police Department,State Highway Patrol,Precinct 20,District 8,Richmond,VA,3/01/1993,22,6/01/1993,Day (7AM-3PM),Special Investigations,260,102,51,6,0,EVOC (Emergency Driving)|Accident Reconstruction,Yes,No,(513) 931-2122,badge.7237@vapd.gov,8787,1,Active
OFF-4398,PoliceOfficer,OFF-4398,Officer Barbara Taylor,Barbara,Taylor,4398,Senior Officer,Metropolitan Police Department,Transit,Precinct 8,District 5,Charleston,WV,5/01/1990,25,11/01/1990,Evening (3PM-11PM),K9,31,137,38,9,0,EVOC (Emergency Driving),Yes,Yes,(638) 284-7153,badge.4398@wvpd.gov,7803,1,Active
OFF-2495,PoliceOfficer,OFF-2495,Officer Karen Harris,Karen,Harris,2495,Detective,State Highway Patrol Police Department,County Sheriff,Precinct 18,District 2,Richmond,VA,7/01/2000,15,7/01/2000,Rotating,Special Investigations,389,8,44,2,0,Accident Reconstruction|Traffic Investigation|Evidence Collection,No,Yes,(725) 902-3323,badge.2495@vapd.gov,2430,1,Active
OFF-7675,PoliceOfficer,OFF-7675,Officer John Martinez,John,Martinez,7675,Officer,State Highway Patrol Police Department,Municipal,Precinct 10,District 4,Columbia,SC,8/01/1994,21,11/01/1994,Day (7AM-3PM),K9,245,50,24,7,0,Evidence Collection,Yes,Yes,(421) 692-1851,badge.7675@scpd.gov,5008,1,Active
OFF-7128,PoliceOfficer,OFF-7128,Officer Barbara Brown,Barbara,Brown,7128,Sergeant,Metropolitan Police Department,Municipal,Precinct 9,District 6,Richmond,VA,10/01/1991,24,8/01/1991,Rotating,Special Investigations,35,98,22,9,2,EVOC (Emergency Driving),No,Yes,(456) 491-5403,badge.7128@vapd.gov,9788,1,Active
OFF-9446,PoliceOfficer,OFF-9446,Officer Robert Brown,Robert,Brown,9446,Detective,Metropolitan Police Department,Transit,Precinct 9,District 7,Albany,NY,2/01/2013,2,11/01/2013,Evening (3PM-11PM),Traffic,345,142,60,12,0,Evidence Collection,No,No,(206) 410-5621,badge.9446@nypd.gov,7272,1,Active
OFF-1955,PoliceOfficer,OFF-1955,Officer Sandra Martinez,Sandra,Martinez,1955,Officer,State Highway Patrol Police Department,Transit,Precinct 10,District 3,Charleston,WV,9/01/2007,8,10/01/2007,Night (11PM-7AM),Special Investigations,39,133,23,8,2,Evidence Collection|Traffic Investigation|Crisis Intervention|Accident Reconstruction,No,No,(879) 351-6999,badge.1955@wvpd.gov,6648,1,Active
OFF-5515,PoliceOfficer,OFF-5515,Officer John Robinson,John,Robinson,5515,Senior Officer,Metropolitan Police Department,Transit,Precinct 7,District 7,Charleston,WV,5/01/1995,20,2/01/1995,Night (11PM-7AM),Patrol,164,136,20,5,0,EVOC (Emergency Driving)|Crisis Intervention|Accident Reconstruction|DUI Enforcement,No,Yes,(371) 643-8850,badge.5515@wvpd.gov,2547,1,Active
OFF-5165,PoliceOfficer,OFF-5165,Officer David Brown,David,Brown,5165,Sergeant,State Highway Patrol Police Department,County Sheriff,Precinct 19,District 1,Albany,NY,8/01/2008,7,11/01/2008,Evening (3PM-11PM),K9,158,64,27,9,0,Traffic Investigation|Evidence Collection|Accident Reconstruction|DUI Enforcement,Yes,Yes,(656) 833-9434,badge.5165@nypd.gov,4006,1,On Leave
OFF-8294,PoliceOfficer,OFF-8294,Officer John Williams,John,Williams,8294,Officer,State Highway Patrol Police Department,Municipal,Precinct 12,District 2,Columbia,SC,1/01/1993,22,3/01/1993,Rotating,Traffic,364,15,66,4,2,Crisis Intervention|Evidence Collection|Traffic Investigation|EVOC (Emergency Driving),No,No,(222) 452-1284,badge.8294@scpd.gov,9229,1,Active
OFF-9321,PoliceOfficer,OFF-9321,Officer Linda Johnson,Linda,Johnson,9321,Sergeant,Metropolitan Police Department,State Highway Patrol,Precinct 2,District 3,Columbia,SC,6/01/1993,22,4/01/1993,Day (7AM-3PM),Traffic,316,68,60,11,2,Accident Reconstruction|Traffic Investigation|Evidence Collection|EVOC (Emergency Driving),Yes,No,(915) 757-2982,badge.9321@scpd.gov,7111,1,Active
OFF-5061,PoliceOfficer,OFF-5061,Officer Linda Thompson,Linda,Thompson,5061,Senior Officer,County Sheriff Police Department,Municipal,Precinct 4,District 2,Columbus,OH,1/01/2010,5,2/01/2010,Night (11PM-7AM),Traffic,64,74,24,6,1,Traffic Investigation,No,Yes,(210) 310-6080,badge.5061@ohpd.gov,8820,1,Active
OFF-4172,PoliceOfficer,OFF-4172,Officer Michael Harris,Michael,Harris,4172,Officer,County Sheriff Police Department,Transit,Precinct 11,District 7,Columbia,SC,2/01/1998,17,11/01/1998,Rotating,Traffic,335,22,67,12,0,Accident Reconstruction|DUI Enforcement|Crisis Intervention,No,No,(311) 333-7496,badge.4172@scpd.gov,9875,1,Active
OFF-3940,PoliceOfficer,OFF-3940,Officer Sandra Martin,Sandra,Martin,3940,Officer,State Highway Patrol Police Department,Transit,Precinct 14,District 5,Charleston,WV,12/01/1999,16,6/01/1999,Night (11PM-7AM),Patrol,87,7,72,8,2,DUI Enforcement|Accident Reconstruction|EVOC (Emergency Driving),No,Yes,(846) 906-2854,badge.3940@wvpd.gov,1156,1,Active
OFF-5333,PoliceOfficer,OFF-5333,Officer David Martinez,David,Martinez,5333,Detective,State Highway Patrol Police Department,Transit,Precinct 12,District 8,Columbia,SC,1/01/1991,24,7/01/1991,Evening (3PM-11PM),Detective Bureau,43,145,33,3,0,DUI Enforcement|Crisis Intervention|EVOC (Emergency Driving),No,Yes,(276) 661-6051,badge.5333@scpd.gov,1367,1,Active
OFF-5696,PoliceOfficer,OFF-5696,Officer Sandra Martin,Sandra,Martin,5696,Officer,Municipal Police Department,Transit,Precinct 6,District 3,Richmond,VA,1/01/1987,28,3/01/1987,Evening (3PM-11PM),Traffic,77,59,32,7,0,Crisis Intervention|Accident Reconstruction,No,Yes,(308) 725-8239,badge.5696@vapd.gov,4132,1,Active
OFF-6709,PoliceOfficer,OFF-6709,Officer Robert White,Robert,White,6709,Lieutenant,Metropolitan Police Department,Transit,Precinct 16,District 5,Raleigh,NC,3/01/1989,26,9/01/1989,Evening (3PM-11PM),Detective Bureau,298,96,6,2,2,Evidence Collection|EVOC (Emergency Driving),No,No,(342) 816-5420,badge.6709@ncpd.gov,6565,1,Active
OFF-2979,PoliceOfficer,OFF-2979,Officer Linda Miller,Linda,Miller,2979,Captain,Metropolitan Police Department,County Sheriff,Precinct 16,District 4,Charleston,WV,1/01/2002,13,4/01/2002,Rotating,Traffic,54,21,28,10,2,DUI Enforcement|Evidence Collection|Traffic Investigation|EVOC (Emergency Driving),No,Yes,(843) 721-8789,badge.2979@wvpd.gov,4345,1,On Leave
OFF-2460,PoliceOfficer,OFF-2460,Officer William Thompson,William,Thompson,2460,Detective,State Highway Patrol Police Department,Municipal,Precinct 18,District 2,Richmond,VA,11/01/2011,4,3/01/2011,Night (11PM-7AM),Special Investigations,110,103,54,10,0,EVOC (Emergency Driving)|DUI Enforcement,No,Yes,(472) 645-7723,badge.2460@vapd.gov,4105,1,Active
OFF-5115,PoliceOfficer,OFF-5115,Officer Patricia Thomas,Patricia,Thomas,5115,Officer,Metropolitan Police Department,State Highway Patrol,Precinct 11,District 1,Columbia,SC,3/01/1994,21,9/01/1994,Evening (3PM-11PM),Traffic,53,6,10,11,2,Accident Reconstruction|EVOC (Emergency Driving)|Traffic Investigation|DUI Enforcement,No,No,(962) 884-7423,badge.5115@scpd.gov,5595,1,Active
OFF-2903,PoliceOfficer,OFF-2903,Officer Patricia Wilson,Patricia,Wilson,2903,Sergeant,Metropolitan Police Department,State Highway Patrol,Precinct 17,District 1,Columbia,SC,2/01/1988,27,9/01/1988,Day (7AM-3PM),Patrol,196,96,39,8,2,Crisis Intervention|Traffic Investigation|Evidence Collection,Yes,Yes,(464) 218-6862,badge.2903@scpd.gov,4040,1,Active
